NumeroLinha;Linha;Nome
1037;8207-02;MARIA GORETTI/ESTRELA DALVA
1040;3502-02;OURO PRETO/SAO GABRIEL
1042;9412-12;DESVIO FEIRA AV. AFONSO PENA
30;1144C;BAIRRO MINEIRAO
33;1145-01;BAIRRO DAS INDUSTRIAS/CENTRO VIA AV. AMAZONAS
36;1148A;MILIONARIOS
43;1170-01;SANTA LUCIA/MANGABEIRAS VIA SAVASSI
47;1207B;CONJUNTO BETANIA/SANTA MONICA
54;1404A-01;PALMEIRAS/ALIPIO DE MELO
58;1404C;PALMEIRAS / SAO SALVADOR
62;1404S;BETANIA/PALMEIRAS
65;1502;VISTA ALEGRE / GUARANI
72;1505R-01;CENTRO/CONJUNTO FELICIDADE
78;1510;MADRE GERTRUDES/PROVIDENCIA
88;204-01;EST.VILA OESTE/ NOVA GAMELEIRA
95;2102-03;GAMELEIRA / SERRA
99;2104;NOVA GAMELEIRA/BH SHOPPING
103;2104-04;VIA ISABELLA HENDRIX 
111;2207-01;SERRA VERDE
114;2207Z;SERRA VERDE/ZOOLOGICO
117;2208B-01;JARDIM EUROPA
123;2210B;JARDIM LEBLON VIA RIO BRANCO
148;2214;FLORAMAR
161;2215A-06;CEU AZUL A
164;2215B-01;CEU AZUL B
167;2215B-04;CEU AZUL B
170;2215B-07;CEU AZUL B
173;2215C-02;KATIA VIA CEU AZUL
180;2216-01;SANTA BRANCA
184;2224A-05;JARDIM DOS COMERCIARIOS A
187;2224C-02;JARDIM DOS COMERCIARIOS C
191;2234A-01;JAQUELINE A
194;2234B;JAQUELINE B
197;2256A-01;SAO JOAO BATISTA A
204;2402A-01;SAO BERNARDO/NOSSA SENHORA DA GLORIA A
219;30-16;ESTACAO DIAMANTE/CENTRO
230;303-02;SANTA CECILIA/CASTANHEIRAS
234;305-01;EST. DIAMANTE/ MANGUEIRAS
241;3050-11;ESTACAO DIAMANTE/HOSPITAL VIA BH SHOPPING
268;314-01;EST.DIAM./EST.BARR. VIA STA HELENA
276;318-02;NOTURNO-VIA LIBERD./BONSUCESSO
288;3301A-01;SANTA TEREZINHA/HOSPITAIS
291;3302A;NOVA PAMPULHA/CENTRO VIA ITAMARATI
295;3302B;TREVO/CENTRO VIA BRAUNAS
301;350-01;TIROL/BARREIRO
311;401;METRO CID.INDUSTRIAL/S.MARIA
315;402-01;METRO CID.INDUST./ CAMARGOS
319;402-06;VIA RUA SILEX - SAB. E DOM.
